id,country,description,designation,points,price,province,region_1,region_2,variety,winery
146870,South Africa,"A fairly big wine, with big tannins and high acidity, that lets its flavors do the talking. Lush purple fruit and coffee is streaked with lemon and mineral. A bit tart on the finish, but with food this is enjoyable for its swagger.",,87,20,South Africa,,,Cabernet Sauvignon,The Berrio
189,Spain,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",Negre,87,22,Catalonia,Montsant,,Red Blend,Jaspi
129416,Spain,"A bit murky and damp on the nose, with brandied fruit and raisin aromas. The palate is solidly formed, with basic raspberry flavors but not much follow through as the finish shows buttery, soft flavors. Inoffensive but more generic than individual.",,85,22,Northern Spain,Ribera del Duero,,Red Blend,Atalayas de GolbÃ¡n
39970,Spain,"Quite an oaky wine, with aromas of BBQ, hickory, roasted plum and spice. The body is full but scratchy, with additional oak manifesting itself in the form of baked, rooty, vanilla flavors that override the wine's simple but quiet fruit content. Finishes dark and toasty, with coffee, mocha and vanilla flavors.",Corona d'AragÃ_n Reserva,85,18,Northern Spain,CariÃ±ena,,Red Blend,Grandes Vinos y ViÃ±edos
70740,Spain,"CUNE is a throwback bodega whose wines won't appeal to followers of the new wave. And since I consider myself a backer of the modern style, I found this wine too obtuse, funky and borderline dirty to rate higher. It's full of mossy, stewy flavors and the feel is heavy. Traditionalist, however, may find it worthy of greater praise.",Imperial Gran Reserva,84,60,Northern Spain,Rioja,,Tempranillo,CVNE
8670,Turkey,"A nose of strawberry and mint with a whiff of petrol sets the scene for flavors of cassis, cherry preserves, peach and eucalyptus that never quite coalesce. Soft tannins drop off immediately after a burst of white peach at the finish.",,86,15,Turkey,,,Kuntra,Ã‡amlibaÄŸ
126576,US,"Rich and round, this offers plenty of concentrated blackberry notes enveloped in warm spices and supple oak. There's a hint of green tomato leaves throughout, but the lush fruit combined with sturdy grape tannins and high acidity would pair well with fatty short ribs or braised pork.",Estate Club,87,32,Virginia,Virginia,,Merlot,Veramar
143029,US,"There are some pretty features to this wine, namely the lovely tannins and rich fruit, but it's just too soft and sweet. Tastes like blackberry jam, with extra white sugar spinkled on top.",Signature,83,45,California,Paso Robles,Central Coast,Cabernet Sauvignon,Byington
98813,US,"Lovely nose, which runs from violets and cherries right into coffee and sweet chocolate. In the mouth the wine coats the palate with Napa-like intensity, only buttressed with more vivid acidity. It's both smooth and deep. The aromas are more detailed, interesting and really clean, loaded with dark flavors of soy, coffee, molasses and black cherry liqueur.",Champoux & Loess Vineyards Reserve,93,100,Washington,Washington,Washington Other,Cabernet Sauvignon,Boudreaux Cellars
43172,US,"Tastes sweeter and fruitier than the 2009, which was dry, so if you like orange marmalade, pineapple tart and vanilla cookie sugariness in your Sauvignon Blancs, it's for you.",Les Pionniers,86,40,California,Sonoma County,Sonoma,Sauvignon Blanc,Capture
115487,US,"This was a very good vintage for Goldeneye, the best since '01. The fruit got ripe, offering up a big mouthful of jammy cherry and raspberry flavors accented with sweet oak. The tannin-acid balance is just great. It's delicious, yet has all kinds of complex edges and nuances.",,93,52,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Goldeneye
77153,US,"Shows classic varietal flavors of cherries, raspberries and Dr. Pepper, with a sweet edge of smoky oak. Enjoyable now for its forward fruit and silky texture.",,86,17,California,California,California Other,Pinot Noir,Donovan-Parke
131535,US,"A very nice, casual Merlot that has layers of complex elegance beyond just the fruit. And what fruit it is, ripe and sweet in cherry pie, raspberry cream, cola and vanilla, with a splash of cassis. Fortunately, there's enough acidity and tannin for balance.",Crimson Creek,88,27,California,Napa Valley,Napa,Merlot,Pine Ridge
44672,US,"A tough, gritty little Pinot Noir, not quite ripe. It smells and tastes of green mint and peppercorns, alongside the cherries and cola, and is rugged in texture.",,85,17,California,Central Coast,Central Coast,Pinot Noir,Santa Barbara Winery
70078,US,"Hot, tannic and simple, with cherry jam and currant flavors accompanied by high, tart acidity and chile-pepper alcohol heat. An unbalanced wine.",Estate Bottled,81,26,California,Shenandoah Valley (CA),Sierra Foothills,Sangiovese,Bella Piazza
150579,US,"Big, fruity wine, with layers of fruit, earth, toast and oak. Spicy cranberry/raspberry fruit leads into toasty, dry tannins. There is a lovely density, buttressed with new oak, but anchored with ripe, firm fruit. Lovely winemaking.",Alegria,91,26,California,Russian River Valley,Sonoma,Zinfandel,Rosenblum
71661,US,"Here's a good buy in a nice, dry, crisp young Sauvignon Blanc. It has subtle green grass, citrus and vanilla flavors, and finishes clean and zesty.",,85,8,California,California,California Other,Sauvignon Blanc,Pepperwood Grove
25563,US,"Wonderfully rich with lush dark chocolate and espresso notes, this is another lovely, highly drinkable Merlot from Comtesse ThÃ©rÃ¨se. There's a good amount of charred oak, but it's integrated seamlessly with concentrated black plum and berry flavors. The finish is long, and accented by pleasant astringency of walnut skins and tobacco.",Traditional,87,18,New York,North Fork of Long Island,Long Island,Merlot,Comtesse ThÃ©rÃ¨se
138408,US,"Forward and lush, with a beautiful structure, this dry, balanced wine has cherry, cassis, wintergreen and oak flavors that finish in a swirl of complexity. This fine wine defines the elegance and femininity of a great Rutherford Cab, and should age well through 2012.",Estate Reserve,93,85,California,Rutherford,Napa,Cabernet Sauvignon,Sullivan
117156,US,"A bit disappointing on the nose; pickle barrel and onion are supported by moderate spice. This is a dark, extracted wine with dusty tannins and a lean feel. Cherry/berry fruit flavors are shy as they compete with tomato, spice and onion before finishing metallic.",Reserve,83,22,New York,"The Hamptons, Long Island",Long Island,Merlot,WÃ¶lffer
114278,US,"A masterpiece from this near perfect vintage. Completely ripe, classic and fresh, with oodles of red cherry and blackcurrant flavors that are generously oaked. Amazingly, the wine is still young and tannic. So beautifully structured, so smooth and polished, firm yet soft, just a gorgeous wine. Hold onto it until at least 2012, if you can.",Rubicon,97,100,California,Rutherford,Napa,Red Blend,Niebaum-Coppola
81804,US,"There's something subtlely unripe about this Pinot Noir. It show up in the aroma, with a trace of stewed asparagus. Still, it's dry and elegant, and the flavors of sour cherry candy and sandalwood make it all right.",,84,40,California,Russian River Valley,Sonoma,Pinot Noir,Martin Ray
16463,US,"This isn't a very complex Merlot, but it is textbook if you're looking for soft fruitiness. It has oak-influenced cherry and blackberry flavors, with hints of violets and fruit tea, and is dry and dusty in tannins. Give it more concentration and it would be a star.",,87,19,California,Alexander Valley,Sonoma,Merlot,Geyser Peak
59192,US,"There's a Floodgate Vineyard in Anderson Valley that produces very nice Pinot Noirs, but this one says it's from Russian River Valley. This wine is average in quality. It has a fine, silky mouthfeel, with some good cherry flavors, but also a sharp, green touch of mint that's unlikely to age out.",Floodgate Vineyard Old Vines,85,57,California,Russian River Valley,Sonoma,Pinot Noir,C. Donatiello
119093,US,"Sharp and penetrating, vertically structured, and just now coming out of its youthful shell, the 2006 is beginning to show its long- term aging potential. Compact blueberry and blackberry fruit comes with a hint of black olive; it's ripe, quite firm and wrapped into chewy tannins and natural acids, with a lemony finish.",,91,33,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Syzygy
95772,US,"Dry, crisp and a bit one-dimensional, this Pinot offers pleasant flavors of cherries, cola, oranges, vanilla and smoke. Seems a bit pricey. Drink now.",Jack Ranch Vineyard,85,30,California,Edna Valley,Central Coast,Pinot Noir,Martin & Weyrich
91485,US,"A bit hard in tannins and stinging in acidity, but the lush, ripe flavors make up for it. Offers waves of black and red cherries, cola, licorice and bacon flavors, accented with sweet, smoky oak. Good now, and should develop for a few years.",,91,29,California,San Luis Obispo County,Central Coast,Pinot Noir,Sinor-LaVallee
98801,US,"Made in a lighter, silkier, more accessible style, this is an elegant Pinot Noir that suggests lamb, roast salmon and other upscale dishes. It's easy to drink, but also complex, with intricately layered flavors of cherries, raspberries, red currants, licorice, sassafras, sweet smoky cedar and Asian spices.",Balletto Vineyard,93,40,California,Sonoma Coast,Sonoma,Pinot Noir,WesMar
30536,US,"This wine made from Muscat Canelli grapes is slightly spritzy and sweet, pungent in apricot fuzz and grass, a mÃ©lange of tropical goodness from there on out. Mango, kiwi and pineapple fill the medium-weight waves of viscous texture, concluding in a vanilla-tinged, light, fresh finish.",Estate Grown,86,25,California,Napa Valley,Napa,Moscato,St. SupÃ©ry
57896,US,"Dark and heavy, almost RhÃ´ne-like, with significant tannins that interfere with palate pleasure. There's a deep core of black cherries and lots of oak. Could develop.",Turner Vineyard,87,48,California,Sta. Rita Hills,Central Coast,Pinot Noir,A.P. Vin
146614,US,"Starts out with pleasant notes of supple fruit, but there's too much oak showing at the moment, and the fruit quickly gets buried. Some bitter tannins conclude; give this one extra airtime to soften it up.",Reserve,87,23,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Snoqualmie
59890,US,"Tough in tannins, austerely dry and thin in fruit, this Cab lacks voluptuousness. You'll find cooked cherry-berry flavors that are swamped by alcohol and tannins.",,82,46,California,Paso Robles,Central Coast,Cabernet Sauvignon,La Capilla
50936,US,"Tastes like ripeness ran away with this wine. The blackberry flavors are explosive, making it taste like jam, while the oak is very strong, almost overpowering in smoky char. Pretty good, but overworked. Drink soon.",Estate,88,45,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Blue Rock
66901,US,"For those who love the austere, steel and stone flavors of bone-dry Riesling, this will be a welcome discovery. It has plenty of power, citrus rind flavors of fruit and skin, a persistent minerality and a clean, fresh finish.",Reserve Dry,89,21,Oregon,Willamette Valley,Willamette Valley,Riesling,Chehalem
132533,US,"Tastes immature now, with the toasty oak not yet integrated, and the tannins also stick out in all their sticky glory. The fruit is exceptionally ripe, suggesting grilled blackberries and black currants. The suggestion is ageability. Better sometime after mid-2010.",,90,75,California,Napa Valley,Napa,Cabernet Sauvignon,Phelan Vineyard
115133,US,"This is off-dry, roughly 2% residual sugar, and the sweetness is quite evident. It's rather fleshy for a GewÃ_rzt, with honeysuckle, melon and peach fruit. There is a nice spiciness to the aroma as well, and it carries into the midpalate, lending a welcome streak of licorice.",,87,9,Washington,Columbia Valley (WA),Columbia Valley,GewÃ_rztraminer,Hogue
111673,US,"A new bottling from the winery, made from vines grown 2,000 feet up the mountain that were planted only in 2001. It's far too immature to drink now or anytime soon. The tannins are thick and on lockdown, the blackberry, cassis and cherry fruit all primary and not yet integrated with the oak. But these parts are high-quality and need time to mesh and develop. Best after 2010 through 2016 and beyond.",Yverdon Vineyard,93,70,California,Napa,,Cabernet Sauvignon,Terra Valentine
43682,US,"Made in the modern style of soft, sweet opulence, this is insanely rich, with notes of cherry marmalade, red currant, milk chocolate and sweet cedar flavors that continue onto the long, smooth finish. It's a blend of the traditional red Bordeaux varieties, and while it was aged in 100% new French oak, it's not too oaky. Drink over the next six years for its youthful beauty.",White Label,93,67,California,Napa Valley,Napa,Bordeaux-style Red Blend,Les Belles Collines
124341,US,"This is a heavy, dense and not very rewarding Pinot Noir at this time. It's soft and full-bodied and very ripe in cherries, blackberries and cola flavors. Could age to mellow sweetness, but it's a gamble.",Brosseau Vineyard,86,44,California,Chalone,Central Coast,Pinot Noir,P2
143226,US,"Offers lush, intricate flavors of blackberries, cassis, roasted coffeebean, sweet milk chocolate and toasty oak in a soft, gentle wine that has complexity and interest. Not an ager, but a real beauty.",Winemaker's Reserve,91,35,California,Alexander Valley,Sonoma,Cabernet Sauvignon,ChÃ¢teau Souverain
117908,US,"The estate bottling is 100% SÃ©millon and tastes a bit riper and more peachy than the Columbia Valley bottling, though perhaps less nuanced. Barrel fermented in both new and second year French oak, it adds honeysuckle, sweet apple and a hint of mint to the sweet fruit.",Seven Hills Vineyard Estate,91,20,Washington,Walla Walla Valley (WA),Columbia Valley,SÃ©millon,L'Ecole No. 41
4180,US,"Of all the 2012 releases from Mannina, this is the most dense, dark and substantial. Cassis and black cherry fruit is set against a stiff streak of char and coffee, backed with firm, ripe tannins. The length and balance are just right for ripe fruit from young vines.",,90,30,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Mannina Cellars
116551,US,"Tasted in October, 2007, the wine was mute, offering little aromatically except for teasing notes of blackberries and oak. That shyness extended to the taste, where strong, hard tannins provide an almost impenetrable coat of armor to what's inside. But right down the middle of the palate is a deep, intensely powerful stream of perfectly ripened cassis that's all the proof you need of ageability. This is a magnificently structured young wine, reminiscent of a fine young Pauillac. Best after 2012, and should have another decade after that, at least.",Insignia,97,200,California,Napa Valley,Napa,Bordeaux-style Red Blend,Joseph Phelps
116564,US,"It's impossible for a Cabernet to be richer, more opulent or more hedonistically stunning on opening than this beauty from veteran Phelps. Admittedly, there are significant tannins. But the wine delivers a broadside of the sweetest, ripest cassis fruit imaginable, along with richly toasted oak. It's the kind of Cab that will dazzle even an amateur. Absolutely gorgeous now, with immaculate elegance. About the only criticism you can offer is that the structure is a bit obvious, and ageability may be limited.",Backus,95,200,California,Oakville,Napa,Cabernet Sauvignon,Joseph Phelps
74057,US,"The former basketball star's initial release immediately establishes itself among the elite Cabernets of Napa Valley. Made from mountain vineyards on Atlas Peak and benches in the Rutherford appellation, it combines intensity with elegance. Bursts with upfront, delicious blackberry, crÃ¨me de cassis and dark chocolate flavors that are wildly sweet on the midpalate, but then finish thoroughly dry. Structure comes by way of a tangy minerality and finely laced tannins. This is one of those wines that is softly decadent from start to finish, although it's probably not one to hold much beyond six years.",Family Reserve,97,625,California,Napa Valley,Napa,Cabernet Sauvignon,Yao Ming
83298,US,"Made in the Lokoya style, which is darkly colored, full bodied, tannic and dense in mountain fruit. A spicy oak tone joins with massive blackberry, cassis and violet flavors to make this wine delicious from the start. It's very tannic and needs a great deal of time. Begin to enjoy this wine in 2016, and it should go far longer than that.",,94,350,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Lokoya
135895,US,"A disappointing wine. Tastes frankly unripe, with a vegetal undertow to the blackberries and cherries. The thinness of fruit accentuates the alcohol which, although only 14.6%, comes through as hot. The grapes came from the cool Coombsville area, and the wine is 100% Cabernet.",,84,225,California,Napa Valley,Napa,Cabernet Sauvignon,Meteor
